Extracurricular Activities,Previous Scores,Hours Studied,Sleep Hours,Sample Question Papers Practiced,Performance Index
No,77,2,7,9,52
No,41,5,5,0,25
Yes,82,4,8,6,68
No,78,9,4,3,76
Yes,93,6,9,7,85
No,60,2,7,7,40
Yes,79,1,7,7,56
Yes,76,5,6,5,62
Yes,98,9,9,8,99
Yes,57,6,8,3,46
Yes,93,7,7,4,86
Yes,87,5,4,3,73
No,85,6,8,4,74
Yes,51,5,7,1,37
No,56,9,4,4,50
Yes,76,6,6,9,65
No,85,8,6,7,79
Yes,77,2,4,8,53
Yes,54,9,8,6,55
No,46,5,4,6,31
Yes,53,7,9,5,47
Yes,89,1,4,1,63
Yes,40,5,6,9,27
Yes,77,2,6,9,53
No,42,6,6,8,33
Yes,76,1,9,4,56
No,83,3,7,5,65
Yes,70,5,9,0,55
Yes,82,4,7,4,67
Yes,52,3,9,5,32
Yes,87,5,5,9,73
No,57,8,7,1,45
Yes,56,4,8,6,43
Yes,56,1,8,3,32
Yes,50,7,6,4,42
No,59,8,9,2,55
No,49,3,4,4,28
No,68,6,6,3,58
No,87,2,4,9,67
Yes,73,7,9,5,66
Yes,56,8,6,1,46
No,93,6,6,2,79
Yes,91,6,8,9,83
Yes,81,5,4,0,63
No,52,8,5,6,45
Yes,83,1,5,8,63
No,86,4,6,1,70
No,78,4,9,6,58
No,66,3,6,2,50
No,93,3,8,4,77
No,92,4,4,5,75
No,65,1,6,7,40
Yes,67,2,9,3,43
Yes,52,9,5,1,47
Yes,51,2,4,2,22
No,83,5,6,7,71
No,67,9,4,6,63
No,41,9,8,5,37
Yes,76,8,5,4,72
Yes,96,1,9,4,73
No,96,1,4,0,72
No,73,9,5,5,68
No,62,8,6,8,59
No,97,9,9,7,97
No,91,7,9,9,83
Yes,84,3,7,0,65
No,68,3,4,5,47
No,74,2,5,2,51
No,50,5,4,5,32
No,87,3,6,8,63
Yes,72,6,6,5,60
No,90,2,9,7,70
No,50,3,9,5,32
No,48,5,5,5,32
Yes,53,1,8,6,29
No,48,1,4,9,21
Yes,78,9,4,3,74
No,87,7,6,7,81
No,42,1,4,3,11
No,68,8,5,6,65
No,58,3,7,0,37
No,75,8,9,8,75
No,71,5,6,9,61
No,46,1,9,8,17
No,94,7,9,6,87
No,67,5,9,7,52
Yes,83,6,7,1,71
Yes,57,6,4,9,46
Yes,99,8,8,9,99
Yes,44,9,9,6,40
No,62,2,5,0,42
No,94,9,9,2,91
Yes,61,9,9,5,57
Yes,65,7,4,4,58
Yes,81,1,5,4,55
Yes,51,7,4,8,46
No,79,5,9,5,64
Yes,58,6,4,2,45
No,86,7,4,1,78
No,40,5,6,8,24
No,42,7,7,9,36
Yes,66,9,8,3,65
Yes,57,3,7,4,35
No,89,8,7,8,87
Yes,69,2,5,4,45
Yes,41,7,6,6,35
No,44,2,6,1,18
No,68,4,4,1,46
Yes,72,7,7,3,63
No,81,3,8,7,62
Yes,59,2,5,1,35
Yes,69,7,6,9,63
No,81,1,4,6,58
No,44,8,8,0,37
Yes,89,3,7,8,74
No,60,2,8,9,40
Yes,97,3,6,5,78
No,54,5,5,0,38
Yes,59,8,7,9,55
No,47,7,5,5,39
Yes,88,7,9,4,84
Yes,70,7,8,4,60
No,51,8,8,4,47
Yes,60,1,4,3,34
Yes,69,4,7,6,54
Yes,66,6,8,8,56
Yes,83,9,6,3,82
Yes,65,2,9,1,45
No,72,1,6,1,45
Yes,65,2,5,1,43
Yes,65,7,9,6,57
Yes,75,3,9,3,56
No,79,2,6,3,56
No,40,7,8,0,30
Yes,98,2,6,3,75
Yes,54,3,7,5,33
No,89,7,5,1,80
No,40,4,9,3,27
Yes,50,1,7,6,26
No,94,5,8,8,81
Yes,41,9,8,1,41
Yes,40,8,6,7,34
Yes,70,9,4,5,68
No,83,9,9,7,83
Yes,55,7,9,1,44
Yes,93,4,4,0,75
No,61,5,8,6,52
Yes,81,1,8,8,56
Yes,57,1,9,8,37
Yes,86,3,5,1,67
No,56,8,9,3,50
No,69,2,8,0,46
Yes,49,4,8,6,31
No,74,2,5,1,51
Yes,97,5,7,3,82
Yes,60,9,7,1,58
No,55,1,5,0,31
No,45,5,5,6,29
Yes,42,9,7,5,40
No,80,1,7,1,51
No,82,9,7,3,79
No,60,8,7,2,52
Yes,52,4,9,2,36
Yes,57,5,9,2,43
No,97,5,6,3,81
Yes,93,6,5,0,81
Yes,99,7,4,0,84
No,63,8,6,6,55
Yes,66,8,4,4,64
No,93,2,4,2,68
Yes,43,9,8,8,41
Yes,61,7,5,4,53
No,63,4,9,9,50
Yes,79,4,6,2,65
No,84,8,5,8,78
Yes,49,4,7,0,31
Yes,41,6,5,8,30
Yes,79,5,4,4,64
No,45,3,9,5,26
Yes,87,2,7,1,66
Yes,57,9,5,7,55
No,56,9,5,2,52
No,77,1,9,0,57
Yes,84,3,4,6,68
No,62,8,7,2,57
No,85,6,4,3,75
No,69,5,9,4,54
No,97,5,5,0,82
Yes,60,6,6,8,51
No,49,7,6,6,43
Yes,95,1,8,1,68
Yes,82,9,6,0,77
Yes,52,3,9,1,33
No,51,4,9,2,37
No,48,1,9,2,23
Yes,43,3,7,7,26
Yes,78,2,8,4,56
No,63,2,7,8,42
No,93,1,6,2,65
Yes,73,8,6,5,66
No,78,3,5,3,57
No,80,3,7,7,59
Yes,44,6,4,0,28
No,54,8,5,3,46
No,89,9,7,6,84
Yes,43,9,9,8,42
No,90,4,8,0,73
Yes,91,5,7,7,77
No,97,2,8,1,74
Yes,78,9,8,3,75
No,97,8,6,3,94
Yes,47,3,4,7,27
No,88,9,7,1,89
No,84,3,4,6,62
No,63,9,8,2,59
Yes,92,2,6,8,73
No,67,9,4,4,57
Yes,94,8,5,7,90
No,82,9,8,4,80
No,66,5,5,0,50
No,40,2,9,8,18
No,73,8,4,9,68
No,56,6,4,6,39
No,76,8,4,3,67
Yes,77,5,9,6,69
Yes,65,2,7,4,43
No,96,6,8,9,84
No,63,5,8,8,50
No,78,5,8,1,65
No,99,1,7,3,74
No,60,2,4,5,35
Yes,69,8,4,4,61
No,86,3,9,0,64
No,90,3,5,8,66
Yes,87,8,7,8,81
Yes,96,8,6,2,93
Yes,52,2,7,3,28
No,76,8,9,3,71
No,42,1,5,9,13
No,71,6,5,7,59
No,74,8,5,5,67
No,58,3,4,1,35
Yes,53,8,6,3,46
No,87,1,5,0,59
No,61,9,8,2,57
No,56,9,4,3,51
Yes,98,5,6,7,80
No,43,4,8,2,22
No,84,6,6,4,71
No,79,7,9,0,73
No,58,5,6,3,40
Yes,76,9,8,1,75
Yes,41,3,7,3,24
Yes,54,7,6,4,45
No,41,5,7,2,25
Yes,50,7,6,5,42
Yes,84,2,9,1,63
No,62,4,8,4,44
No,49,2,6,3,26
Yes,42,7,5,4,31
Yes,44,2,9,8,26
Yes,42,1,5,5,15
Yes,77,9,9,6,77
No,52,1,9,7,31
No,81,8,6,8,75
Yes,58,2,8,4,34
Yes,79,8,8,7,74
Yes,89,3,4,1,68
No,74,6,8,9,64
No,63,3,7,8,43
No,63,7,6,1,54
Yes,56,9,5,4,53
No,79,2,8,5,56
Yes,49,5,5,3,34
Yes,41,6,4,7,27
No,83,4,6,9,66
Yes,62,4,8,2,41
No,45,4,5,4,25
No,41,2,9,1,20
Yes,60,4,8,2,45
Yes,94,1,4,7,70
No,95,6,9,4,86
No,74,1,5,2,46
No,88,6,5,4,73
No,68,1,6,8,42
No,46,6,6,2,27
No,68,8,5,9,64
No,92,2,9,6,71
Yes,76,2,6,7,56
No,62,4,5,4,43
Yes,72,3,9,2,50
Yes,47,4,7,5,31
No,51,7,8,2,42
No,85,1,7,8,60
No,87,6,7,1,76
No,49,3,8,2,28
No,54,7,5,6,45
Yes,92,2,5,9,71
Yes,63,2,6,7,44
No,65,4,4,4,48
No,86,1,5,4,57
No,81,3,8,4,61
No,92,9,4,3,86
Yes,99,7,8,8,95
Yes,78,7,8,5,70
Yes,97,4,8,7,81
No,42,2,4,7,18
No,41,4,7,4,24
No,45,6,9,8,32
Yes,60,3,8,1,40
Yes,48,1,6,7,25
Yes,49,8,5,2,41
No,75,5,9,6,66
Yes,98,5,5,8,83
No,42,4,5,4,22
Yes,80,6,4,7,70
No,63,3,6,3,42
No,61,9,6,0,56
No,88,5,9,0,72
No,53,3,6,5,31
Yes,81,1,6,7,60
Yes,84,6,6,9,74
Yes,83,2,9,1,62
No,66,3,7,3,44
Yes,72,1,6,2,46
No,99,9,6,8,96
Yes,61,8,4,2,51
Yes,68,2,4,7,43
No,58,8,6,6,51
No,58,9,7,0,58
No,45,1,6,7,23
Yes,84,5,6,8,67
No,58,8,6,7,50
Yes,52,2,8,9,31
Yes,98,4,7,9,83
Yes,65,7,5,0,55
No,61,3,6,6,44
Yes,60,5,5,8,45
No,75,8,7,4,73
No,95,3,6,1,76
Yes,41,4,5,7,23
Yes,86,9,9,8,84
Yes,83,7,5,6,73
Yes,69,1,7,4,48
No,66,4,6,7,50
No,46,4,8,5,30
No,59,9,7,3,51
No,89,6,8,0,76
No,70,9,6,5,66
No,62,6,5,7,50
No,52,6,9,2,40
No,56,5,9,6,42
No,43,5,7,6,29
Yes,96,2,7,8,77
Yes,53,8,7,0,45
No,59,8,4,4,49
No,99,1,9,7,74
Yes,52,8,9,2,45
Yes,42,5,6,4,27
Yes,65,2,4,0,44
No,65,2,7,8,42
Yes,57,6,7,3,43
Yes,71,9,8,4,68
Yes,53,1,4,2,29
Yes,86,6,5,1,73
Yes,42,9,9,6,39
No,40,8,6,4,30
Yes,65,6,5,9,53
No,63,3,5,2,38
Yes,88,8,6,1,82
Yes,74,9,7,9,72
Yes,53,1,9,5,24
Yes,42,9,8,9,44
Yes,52,6,7,5,45
No,86,6,7,2,75
No,89,4,4,8,75
No,53,1,5,0,26
No,60,8,5,2,49
No,65,2,9,0,42
No,42,1,5,6,14
No,90,2,8,1,64
Yes,79,1,8,3,54
No,43,1,8,3,16
Yes,75,9,6,7,73
Yes,90,1,9,3,67
No,82,4,8,2,69
Yes,40,6,4,9,28
Yes,79,7,4,2,67
No,86,2,7,4,62
Yes,72,6,7,5,60
No,46,7,9,6,43
Yes,92,2,7,4,70
No,91,2,7,6,70
Yes,91,7,4,3,84
No,95,1,7,4,72
Yes,50,8,4,5,44
No,66,3,8,8,46
Yes,53,6,8,5,41
Yes,61,9,9,9,58
No,55,6,6,0,44
Yes,85,9,7,6,89
No,51,7,8,2,45
Yes,88,9,8,5,87
Yes,85,2,9,1,61
No,49,8,5,6,41
Yes,63,8,5,0,57
No,85,2,9,1,62
Yes,57,4,4,8,39
Yes,61,7,6,8,54
Yes,48,4,9,6,33
Yes,56,4,5,1,42
No,77,6,6,4,70
No,79,6,8,3,67
Yes,97,3,9,1,80
Yes,52,9,4,1,44
No,89,2,6,9,69
Yes,76,6,5,7,66
No,45,7,8,4,35
Yes,60,9,9,7,61
Yes,90,3,7,1,68
No,75,3,8,1,55
Yes,46,7,5,2,36
No,75,4,9,9,56
No,64,8,5,7,58
No,50,7,7,7,40
No,83,5,8,2,68
No,53,7,6,0,43
No,84,3,6,6,61
Yes,68,2,8,3,45
No,49,6,6,2,36
No,89,2,9,4,67
Yes,87,3,8,5,67
No,44,6,8,0,29
Yes,47,5,5,8,31
No,85,8,4,5,74
No,44,9,5,2,37
No,97,3,6,0,79
Yes,99,3,4,8,76
Yes,63,3,8,1,45
No,79,6,6,9,65
No,96,1,7,5,72
Yes,65,7,6,5,62
Yes,45,1,4,2,19
Yes,55,5,4,5,39
No,99,8,8,1,93
Yes,75,4,9,7,62
Yes,51,5,7,0,37
Yes,50,4,8,5,34
Yes,42,4,7,0,23
Yes,83,8,7,8,79
Yes,76,2,8,8,51
Yes,45,1,6,5,18
No,58,3,5,5,41
Yes,57,9,7,8,57
No,55,4,4,4,36
No,62,5,8,8,47
Yes,82,2,9,4,65
No,76,4,6,3,57
No,48,2,7,1,22
Yes,42,2,9,1,20
No,47,4,6,0,27
Yes,77,6,8,9,64
Yes,43,7,9,2,32
Yes,51,3,4,0,29
Yes,83,3,7,5,62
Yes,70,6,7,6,56
Yes,64,3,9,8,43
Yes,92,2,6,6,70
No,55,8,8,3,49
Yes,81,5,5,3,68
No,93,1,7,7,66
Yes,53,3,4,3,31
Yes,52,8,7,0,44
Yes,80,4,7,8,65
No,46,7,5,2,36
No,51,2,5,0,27
No,76,7,8,8,71
No,89,5,7,9,76
No,43,5,7,9,31
No,41,6,6,4,26
Yes,74,9,6,8,69
Yes,97,6,9,2,90
No,83,8,9,5,79
No,42,7,4,6,33
No,43,9,4,4,40
No,77,4,6,7,58
No,51,2,9,9,28
Yes,58,7,4,5,50
Yes,49,6,7,5,37
Yes,40,1,9,6,15
Yes,56,9,5,7,50
Yes,55,9,9,1,55
Yes,48,2,7,6,25
Yes,96,3,6,8,79
Yes,92,5,8,0,79
No,48,5,8,0,36
No,98,1,6,6,69
Yes,94,8,7,4,83
Yes,48,8,4,0,44
Yes,51,4,9,0,36
No,94,7,9,1,84
No,80,3,4,9,58
Yes,54,6,8,8,44
No,41,9,6,2,36
Yes,50,1,6,8,23
Yes,50,5,5,5,33
Yes,47,4,8,9,31
Yes,94,8,6,5,90
Yes,71,1,5,6,45
No,45,9,4,9,40
Yes,92,6,8,7,81
Yes,59,4,8,2,47
Yes,78,9,6,7,75
Yes,74,5,6,5,61
No,47,5,7,5,37
Yes,89,5,4,2,75
Yes,88,1,4,5,63
No,82,1,9,7,61
Yes,73,8,5,6,70
Yes,96,8,5,9,91
Yes,92,6,7,9,80
Yes,98,4,9,6,83
No,95,2,4,2,72
Yes,58,2,5,9,35
Yes,46,9,4,2,41
No,70,5,4,4,57
Yes,57,4,9,4,43
Yes,79,1,5,8,55
No,53,7,6,8,42
Yes,78,3,6,9,59
No,99,6,9,4,90
Yes,92,5,5,4,79
No,99,5,7,5,89
Yes,98,5,8,7,87
Yes,75,1,9,5,50
No,56,1,4,5,33
Yes,76,3,9,8,58
No,83,4,8,0,68
No,48,5,9,3,33
No,97,2,5,9,73
No,59,8,4,9,50
Yes,84,2,8,1,59
No,96,9,6,8,93
Yes,67,2,7,2,47
Yes,89,9,9,9,89
No,59,7,9,1,47
No,80,8,8,7,77
Yes,75,2,7,3,53
No,92,7,9,1,87
Yes,66,6,6,3,53
No,47,4,8,6,28
Yes,71,7,5,6,66
Yes,40,4,4,0,23
No,56,2,6,0,28
Yes,96,7,7,2,89
Yes,48,8,7,1,38
No,59,2,6,2,37
No,84,5,5,3,66
No,71,1,9,6,44
No,41,7,5,1,33
No,71,8,9,6,67
Yes,84,6,9,4,76
Yes,48,5,7,7,33
No,69,6,9,7,59
Yes,59,2,6,4,39
Yes,77,1,9,9,55
Yes,99,7,6,7,96
Yes,40,7,4,8,30
Yes,99,2,7,6,80
No,96,2,5,5,75
No,44,1,8,6,19
Yes,74,8,5,6,71
Yes,75,8,5,2,67
No,40,1,8,5,16
No,53,8,7,5,45
No,48,9,9,8,44
No,69,4,4,0,50
Yes,63,1,5,6,37
No,43,1,9,0,15
No,89,3,5,9,71
Yes,53,5,7,3,42
No,64,5,7,6,49
No,43,9,6,5,41
No,64,2,7,5,40
No,49,2,7,4,25
No,74,6,5,6,62
Yes,94,9,4,8,93
Yes,46,1,5,5,19
Yes,81,9,9,9,77
Yes,52,9,7,6,52
Yes,43,9,6,8,41
No,89,5,4,6,69
No,82,9,6,5,82
No,96,4,8,2,82
No,75,2,6,0,49
No,95,6,6,9,82
No,53,4,9,8,40
No,57,6,7,6,48
No,47,3,9,2,28
No,71,6,7,9,60
No,66,2,9,8,43
No,81,2,7,2,59
No,76,9,7,2,71
No,62,7,7,6,52
Yes,46,3,6,1,27
No,51,1,8,9,28
Yes,64,8,7,6,62
No,42,6,8,6,27
No,65,7,8,0,55
No,43,9,5,9,39
Yes,81,5,5,1,66
Yes,75,1,4,4,46
No,54,7,9,3,47
No,71,5,5,2,59
No,68,3,7,9,46
No,49,9,8,7,47
Yes,60,1,9,6,39
Yes,93,1,4,8,67
No,55,1,5,2,26
Yes,86,3,6,9,68
Yes,58,6,9,0,49
No,68,3,4,8,45
No,91,8,7,8,88
No,90,2,9,0,67
Yes,57,9,8,7,54
No,97,3,7,9,75
Yes,83,5,7,0,67
No,96,8,9,5,91
No,55,2,6,8,30
Yes,40,6,6,2,29
Yes,87,5,9,5,75
Yes,41,9,9,2,41
Yes,95,5,9,4,84
Yes,54,2,8,6,31
Yes,78,5,5,9,64
No,67,4,7,3,48
Yes,40,7,9,3,29
Yes,44,6,5,6,33
No,81,2,8,4,59
Yes,61,5,7,0,45
Yes,92,7,5,9,86
No,75,7,7,1,65
No,85,5,6,5,73
No,52,9,9,8,50
Yes,40,4,6,6,20
No,55,3,4,3,36
Yes,94,4,8,1,78
No,80,5,9,3,65
Yes,61,6,5,4,48
No,71,3,7,1,49
No,55,2,4,0,32
No,90,4,8,3,69
Yes,54,5,8,5,41
Yes,97,4,8,0,77
No,85,3,5,0,60
No,91,8,9,8,88
No,81,4,6,4,61
No,92,2,4,1,69
Yes,51,2,5,1,29
No,99,1,7,3,73
No,40,4,5,1,22
Yes,92,9,7,3,93
Yes,56,7,7,5,46
No,80,7,8,6,74
No,94,7,5,5,83
Yes,90,8,6,3,84
Yes,96,1,7,9,71
No,89,8,8,2,82
Yes,67,4,6,3,49
Yes,46,4,5,4,27
No,48,4,6,3,29
No,61,6,5,2,50
Yes,65,7,7,0,53
No,92,6,4,2,80
No,51,1,4,4,21
No,46,8,9,5,39
No,85,7,9,3,74
No,86,6,7,0,76
Yes,54,6,6,9,43
Yes,77,5,5,6,61
No,60,6,4,8,48
No,53,9,5,5,48
No,41,9,7,5,40
Yes,47,8,6,8,40
Yes,84,9,5,3,80
Yes,94,8,6,4,90
Yes,45,8,4,4,36
No,76,1,5,4,48
No,76,5,8,7,60
Yes,96,4,4,0,76
Yes,72,2,6,9,47
No,80,8,7,9,73
No,45,3,8,2,22
No,91,4,9,7,74
No,65,7,5,8,58
No,78,9,9,1,76
Yes,80,2,4,3,59
No,76,3,5,7,55
Yes,53,4,5,4,33
Yes,76,1,8,0,50
No,47,7,8,5,37
Yes,78,2,8,8,58
Yes,52,5,8,8,36
No,52,1,7,0,25
Yes,79,3,6,3,62
No,82,2,8,0,57
No,67,1,4,6,39
Yes,97,7,5,2,84
No,57,5,9,1,45
No,96,1,8,7,72
Yes,58,6,4,8,45
No,77,5,7,6,63
Yes,71,3,4,5,50
Yes,61,7,9,9,53
No,41,9,9,5,36
Yes,99,9,4,8,97
No,52,9,7,4,49
Yes,62,2,9,4,40
No,64,3,7,1,43
No,67,7,5,5,60
Yes,97,5,8,5,85
Yes,50,2,9,5,26
No,72,3,4,3,53
No,63,6,6,6,53
Yes,41,7,6,8,34
No,69,9,5,0,63
No,56,1,6,2,31
Yes,79,7,5,9,71
Yes,73,8,8,8,67
No,77,3,5,4,57
Yes,61,4,7,5,46
Yes,44,6,7,7,34
No,87,7,7,8,76
Yes,79,4,9,7,65
Yes,90,8,7,2,84
No,55,5,7,9,38
Yes,52,1,7,0,27
No,65,4,7,4,49
Yes,70,3,9,6,52
Yes,91,9,7,1,86
No,78,8,7,0,74
Yes,87,1,8,3,64
Yes,62,6,9,2,53
Yes,87,9,7,3,87
Yes,51,7,5,0,43
Yes,53,4,8,1,37
Yes,95,1,9,0,68
No,57,2,6,2,32
Yes,66,5,4,3,49
Yes,67,5,9,0,56
No,57,8,8,5,52
No,55,6,7,1,41
No,91,8,8,9,87
Yes,55,2,4,4,34
No,52,3,4,7,32
No,97,6,9,3,89
Yes,68,3,7,4,46
No,48,6,7,8,36
Yes,65,6,5,1,51
Yes,67,2,4,1,46
Yes,80,7,7,5,72
Yes,52,2,4,5,27
Yes,75,6,5,2,59
No,48,1,6,8,25
Yes,86,3,4,0,67
No,53,2,5,2,24
Yes,90,7,5,7,82
No,51,4,5,7,35
Yes,92,8,8,3,88
Yes,97,6,9,7,87
Yes,96,4,7,9,79
No,71,5,4,7,58
No,77,9,9,0,76
No,42,7,8,2,34
Yes,97,9,4,0,95
Yes,96,7,9,1,93
No,93,1,8,3,67
Yes,91,8,7,2,85
No,55,4,5,5,36
Yes,59,3,9,4,38
No,71,7,9,4,66
No,95,3,4,9,78
Yes,62,8,5,6,58
No,56,6,7,6,48
Yes,55,5,4,8,41
Yes,77,4,6,7,61
Yes,47,8,6,2,42
No,58,8,6,1,50
No,69,1,7,0,40
No,96,9,6,9,94
Yes,97,5,9,5,84
Yes,73,4,4,3,59
No,53,6,9,2,39
Yes,61,6,6,1,49
Yes,83,2,4,1,59
No,56,8,9,3,49
No,99,7,7,0,89
Yes,98,1,5,5,73
Yes,54,5,9,9,40
No,89,6,8,4,79
No,87,4,6,9,74
Yes,71,2,8,8,49
Yes,52,4,5,1,35
Yes,60,1,7,8,39
No,88,7,9,8,83
Yes,79,2,7,9,56
Yes,72,2,5,8,46
Yes,96,9,8,9,95
Yes,97,5,9,9,86
Yes,66,2,6,3,39
Yes,74,9,4,4,70
No,55,9,7,7,51
No,67,1,5,7,41
No,73,3,9,0,53
Yes,86,4,8,9,71
No,40,7,6,0,31
Yes,80,4,8,9,63
Yes,87,2,6,5,61
Yes,70,7,9,6,65
Yes,75,6,4,1,63
Yes,83,3,4,1,63
No,72,6,5,4,58
No,72,6,5,8,62
No,78,5,6,4,61
Yes,57,4,6,7,40
No,62,1,6,7,39
Yes,99,6,6,4,89
No,62,2,9,7,40
No,54,3,9,7,35
No,65,8,4,4,55
No,69,6,5,4,60
No,64,3,5,3,45
No,84,7,7,0,76
Yes,55,4,5,8,38
Yes,78,9,5,1,73
Yes,87,5,8,0,72
Yes,84,3,8,5,68
Yes,53,2,7,4,27
No,56,2,6,0,33
Yes,51,3,7,6,28
Yes,68,2,7,6,46
Yes,71,4,4,2,52
Yes,95,2,9,7,72
Yes,63,9,5,5,58
Yes,91,2,4,3,69
Yes,52,9,9,9,54
Yes,95,6,5,9,85
Yes,59,1,7,9,33
No,54,4,5,2,33
Yes,95,1,6,0,67
Yes,92,6,6,1,80
No,43,4,7,1,25
No,93,3,8,4,76
Yes,73,3,6,3,53
Yes,67,9,7,1,63
Yes,89,6,4,8,75
No,41,9,8,6,38
Yes,96,5,6,7,79
No,86,2,7,7,63
No,69,8,7,1,60
No,65,5,4,4,49
No,90,2,4,2,66
No,86,4,8,9,71
Yes,65,9,9,8,66
Yes,59,4,6,8,41
No,81,4,7,5,67
No,67,2,8,3,46
No,95,6,8,7,86
No,59,2,4,4,37
Yes,50,7,7,2,42
No,97,3,5,7,77
No,49,3,9,5,32
Yes,62,5,9,4,47
Yes,76,3,4,0,54
Yes,80,2,7,2,60
Yes,91,9,8,6,89
No,58,2,9,2,34
No,84,2,8,0,59
No,57,8,6,7,52
No,88,9,5,6,84
No,66,7,4,4,57
No,45,3,9,9,30
No,49,9,6,4,47
No,41,3,6,5,15
No,63,5,5,6,49
Yes,77,9,4,2,74
No,67,3,4,3,45
Yes,67,7,8,0,61
Yes,92,1,4,6,67
Yes,84,4,6,9,64
Yes,89,4,8,1,73
No,78,7,4,6,68
Yes,41,8,5,5,33
Yes,85,1,6,3,60
No,44,5,7,1,30
Yes,89,7,5,6,82
No,50,4,5,6,33
No,49,4,4,4,28
No,82,4,8,8,64
No,98,6,8,2,88
Yes,41,7,6,8,35
No,54,2,4,4,30
Yes,78,5,8,1,60
Yes,80,4,9,8,66
No,76,3,7,0,52
Yes,46,7,9,0,39
No,59,6,4,6,45
Yes,73,7,4,2,64
Yes,74,5,8,7,66
Yes,73,6,5,6,61
Yes,92,5,4,6,76
No,61,7,5,0,49
No,70,2,6,0,43
Yes,62,5,6,1,45
Yes,58,6,8,1,49
Yes,43,6,6,4,27
Yes,63,5,9,8,50
No,59,7,9,6,52
Yes,78,8,9,1,72
Yes,67,7,8,4,62
Yes,93,5,8,4,80
No,78,1,9,7,53
Yes,56,5,5,8,42
No,58,2,9,7,37
No,93,5,5,1,77
Yes,87,5,6,3,73
Yes,74,2,5,1,46
Yes,71,5,4,5,54
No,86,4,7,3,70
No,85,1,4,6,60
Yes,86,3,4,1,67
No,85,1,8,8,58
Yes,78,5,7,4,63
Yes,96,4,8,0,83
Yes,74,7,5,2,64
Yes,69,5,9,3,57
Yes,56,4,5,2,45
Yes,81,2,7,5,61
No,86,4,6,5,68
No,68,2,5,9,45
No,45,8,4,6,39
Yes,99,3,7,8,77
Yes,56,9,7,9,55
Yes,56,4,5,8,38
No,53,6,5,6,40
Yes,63,5,8,0,49
No,96,1,8,2,74
Yes,89,9,4,4,86
No,96,1,7,9,72
Yes,76,8,6,5,72
Yes,79,9,6,5,77
No,78,9,7,4,76
No,94,1,4,5,67
No,71,2,8,8,52
Yes,75,1,8,0,52
No,89,2,8,0,67
No,76,8,6,8,66
Yes,87,5,6,7,74
Yes,53,7,4,8,40
No,66,2,6,6,44
Yes,98,8,5,9,97
No,58,6,6,5,48
No,70,8,8,8,65
No,85,1,4,1,57
Yes,48,1,7,3,19
No,77,7,7,1,68
No,56,8,4,5,48
Yes,58,3,5,0,34
No,83,5,7,6,67
No,43,1,8,6,15
No,87,7,7,6,83
Yes,96,5,7,3,83
No,50,8,8,7,46
Yes,61,8,6,4,57
Yes,43,9,5,1,42
No,56,7,8,4,51
No,47,1,8,9,24
Yes,85,3,9,8,64
No,98,8,4,9,94
No,73,3,5,0,50
Yes,50,8,6,1,41
No,70,1,9,9,45
No,50,5,8,7,37
Yes,95,4,9,4,75
No,93,5,6,8,80
Yes,95,8,9,5,94
Yes,77,4,9,7,62
No,92,4,9,0,73
Yes,60,3,8,8,43
No,85,7,8,8,78
No,69,3,4,2,51
Yes,49,3,7,0,24
Yes,65,5,5,7,46
Yes,66,5,4,7,51
Yes,47,6,6,8,35
Yes,78,8,9,5,75
Yes,47,6,8,8,38
No,99,1,9,9,79
No,47,8,8,8,42
Yes,94,8,5,3,89
No,73,9,4,4,66
Yes,98,9,4,5,100
Yes,55,2,6,5,34
No,80,2,4,9,59
No,52,3,4,1,28
Yes,62,1,7,3,39
Yes,51,4,5,8,36
Yes,66,4,9,6,52
No,61,9,4,8,57
Yes,71,9,6,5,66
Yes,96,9,9,6,95
No,88,7,8,8,79
No,66,2,4,3,42
No,41,5,4,8,23
Yes,84,4,9,2,67
Yes,72,8,8,7,64
No,65,2,7,2,43
Yes,67,6,5,2,56
Yes,58,5,7,2,43
No,82,2,6,8,55
No,44,1,9,9,16
Yes,72,8,4,2,65
No,59,2,7,5,38
No,69,7,5,3,57
Yes,84,9,6,1,83
Yes,47,9,7,2,47
Yes,77,8,4,4,71
Yes,56,9,5,9,56
Yes,83,2,4,3,57
Yes,40,6,4,4,23
No,42,4,6,0,27
No,85,4,5,3,65
No,65,5,8,9,54
Yes,70,3,4,2,50
Yes,47,1,5,1,23
Yes,82,8,4,6,77
Yes,98,5,7,9,83
Yes,85,3,7,8,66
No,47,7,5,0,38
Yes,74,7,6,6,65
No,78,1,8,0,54
Yes,67,9,7,4,65
No,90,2,6,0,68
No,43,5,8,2,31
No,96,5,7,7,83
No,55,8,8,3,49
No,52,8,9,0,45
No,59,7,4,0,46
No,90,7,5,7,85
Yes,44,6,7,7,33
Yes,94,6,7,3,83
No,76,9,4,3,71
Yes,59,6,7,9,49
Yes,63,2,7,1,39
No,75,2,9,1,51
Yes,73,5,7,5,57
No,97,4,7,7,81
Yes,84,2,7,6,65
No,87,3,6,6,66
Yes,93,7,7,2,86
No,73,8,4,1,66
Yes,58,6,9,9,50
Yes,56,5,7,6,46
Yes,44,1,8,3,20
No,64,8,9,0,58
No,57,3,9,0,38
Yes,99,6,8,3,91
Yes,94,3,4,4,77
No,92,7,6,4,83
Yes,89,7,4,0,79
Yes,47,9,6,2,50
No,66,5,5,5,51
